Date,Surplus,LOC Overage,Saved,CreditOne,NavyFed,Prestige,Little CC,BestBuy,Apple Card
2025-05-01,-365.73,0.0,0.0,30.0,45.0,100.0,0.0,30.0,0.0
2025-06-01,2584.16,0.0,0.0,134.2,45.0,383.0,0.0,2021.96,0.0
2025-07-01,2550.59,-6235.45,0.0,0.0,45.0,0.0,0.0,30.0,0.0
2025-08-01,2567.67,0.0,0.0,0.0,2166.05,0.0,0.0,401.62,0.0
2025-09-01,-527.1,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
2025-10-01,4096.79,0.0,0.0,0.0,4096.79,0.0,0.0,0.0,0.0
2025-11-01,368.99,0.0,0.0,0.0,368.99,0.0,0.0,0.0,0.0
2025-12-01,4596.15,0.0,1003.4,0.0,3592.75,0.0,0.0,0.0,0.0
2026-01-01,-1478.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
