Date,Surplus,CreditOne,NavyFed,Prestige,Little CC,BestBuy,Apple Card
2025-05-01,-3135.88,30.0,45.0,100.0,0.0,30.0,0.0
2025-06-01,2976.38,134.2,45.0,383.0,0.0,2414.18,0.0
2025-07-01,1556.51,0.0,1517.11,0.0,0.0,39.4,0.0
2025-08-01,445.42,0.0,445.42,0.0,0.0,0.0,0.0
2025-09-01,3883.4,0.0,3883.4,0.0,0.0,0.0,0.0
2025-10-01,-380.19,0.0,45.0,0.0,0.0,0.0,0.0
2025-11-01,5673.05,0.0,4303.6,0.0,0.0,0.0,0.0
2025-12-01,-1438.46,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,2884.08,0.0,0.0,0.0,0.0,0.0,0.0
